likely_mpid,expt_gap,formula_x,mpid,formula_y,gap pbe,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,I,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-29717,0,Ag(W3Br7)2,mp-29717,Ag(W3Br7)2,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,35,74,39,46.71428571,15.61904762,35,51,95,44,81,18.66666667,95,79.904,183.84,103.936,110.9316286,41.66192653,79.904,265.8,3695,3429.2,1291.720476,1373.302585,265.8,6,17,11,13.57142857,4.571428571,17,4,6,2,4.619047619,0.825396825,4,120,162,42,133.1904762,17.58730159,120,1.93,2.96,1.03,2.73952381,0.293968254,2.96,1,2,1,1.952380952,0.090702948,2,0,5,5,3.333333333,2.222222222,5,4,10,6,8.285714286,2.448979592,10,0,14,14,4,5.714285714,0,11,20,9,17.57142857,1.387755102,17,0,1,1,0.047619048,0.090702948,0,0,1,1,0.666666667,0.444444444,1,0,6,6,1.714285714,2.448979592,0,0,0,0,0,0,0,1,6,5,2.428571429,2.040816327,1,16.05,29.48,13.43,25.01666667,5.951111111,29.48,0,1.457,1.457,0.971333333,0.647555556,1.457,0,0,0,0,0,0,64,229,165,118.8095238,73.07936508,64
mp-23558,0,Ag2BiO3,mp-23558,Ag2BiO3,0.3843,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,83,75,33.5,25.5,8,65,87,22,79.5,9.666666667,87,15.9994,208.9804,192.981,78.78583333,62.78643333,15.9994,54.8,1234.93,1180.13,529.7766667,474.9766667,54.8,11,16,5,14.16666667,2.111111111,16,2,6,4,3.666666667,1.666666667,2,66,148,82,106,40,66,1.93,3.44,1.51,2.7,0.74,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.5,1.666666667,4,0,10,10,5,5,0,0,14,14,2.333333333,3.888888889,0,6,29,23,11.5,5.833333333,6,0,1,1,0.333333333,0.444444444,0,0,3,3,1.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.833333333,0.555555556,2,9.105,32.95,23.845,15.4875,6.3825,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12
mp-9900,1.98,Ag2GeS3,mp-9900,Ag2GeS3,0.4517,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,31,29,13,16,65,88,23,78.83333333,9.222222222,88,32.065,107.8682,75.8032,64.09523333,32.03023333,32.065,388.36,1234.93,846.57,807.7233333,419.3633333,388.36,11,16,5,14,2,16,3,5,2,3.833333333,0.833333333,3,105,145,40,120.8333333,16.11111111,105,1.93,2.58,0.65,2.268333333,0.311666667,2.58,1,2,1,1.666666667,0.444444444,2,0,4,4,2.333333333,1.666666667,4,0,10,10,5,5,0,0,0,0,0,0,0,6,14,8,9,3,6,0,1,1,0.333333333,0.444444444,0,0,4,4,1.666666667,1.111111111,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,0.666666667,2,16.33,25.786875,9.456875,22.1709375,3.893958333,25.786875,0,2.202,2.202,1.164833333,1.037166667,2.202,0,0,0,0,0,0,70,225,155,147.5,77.5,70
mp-23485,2.47,Ag2HgI4,mp-23485,Ag2HgI4,1.2206,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,80,33,55.14285714,7.102040816,53,65,96,31,83.57142857,14.20408163,96,107.8682,200.59,92.7218,131.99204,19.59941714,126.90447,234.32,1234.93,1000.61,607.3685714,358.6065306,386.85,11,17,6,14.57142857,2.775510204,17,5,6,1,5.142857143,0.244897959,5,132,145,13,139.7142857,3.020408163,139,1.93,2.66,0.73,2.357142857,0.346122449,2.66,1,2,1,1.714285714,0.408163265,2,0,5,5,2.857142857,2.448979592,5,10,10,0,10,0,10,0,14,14,2,3.428571429,0,11,26,15,16.57142857,3.183673469,17,0,1,1,0.285714286,0.408163265,0,0,1,1,0.571428571,0.489795918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.857142857,0.244897959,1,16.33,43.015,26.685,32.85108374,11.61590429,43.015,0,1.062,1.062,0.606857143,0.520163265,1.062,0,0,0,0,0,0,64,225,161,124.5714286,69.2244898,64
mp-1203404,3.06,Ag2Mo(I2O7)2,,,1.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,53,45,21.9047619,18.53968254,8,50,96,46,84.85714286,7.102040816,87,15.9994,126.90447,110.90507,49.68123238,44.90910984,15.9994,54.8,2896,2841.2,365.7361905,414.5815873,54.8,6,17,11,15.23809524,1.68707483,16,2,5,3,3,1.333333333,2,66,154,88,91.61904762,34.15873016,66,1.93,3.44,1.51,3.086666667,0.471111111,3.44,1,2,1,1.857142857,0.244897959,2,0,5,5,3.619047619,1.034013605,4,0,10,10,3.095238095,4.126984127,0,0,0,0,0,0,0,6,17,11,8.571428571,3.673469388,6,0,1,1,0.142857143,0.244897959,0,0,2,2,1.523809524,0.634920635,2,0,5,5,0.238095238,0.453514739,0,0,0,0,0,0,0,1,6,5,1.904761905,0.517006803,2,9.105,43.015,33.91,16.56571429,10.07591837,9.105,0,1.062,1.062,0.202285714,0.327510204,0,0,0,0,0,0,0,12,229,217,52.52380952,54.03174603,12
mp-557644,0,Ag2P2PbO7,mp-557644,Ag2P2PbO7,2.4212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82,74,21.83333333,18.41666667,8,65,87,22,82.16666667,5.916666667,87,15.9994,207.2,191.2006,49.739977,45.6194115,15.9994,54.8,1234.93,1180.13,340.7225,341.38375,54.8,11,16,5,14.83333333,1.416666667,16,2,6,4,3,1.166666667,2,66,146,80,92.66666667,31.11111111,66,1.93,3.44,1.51,2.8875,0.644583333,3.44,1,2,1,1.833333333,0.277777778,2,0,4,4,3,1.166666667,4,0,10,10,2.5,3.75,0,0,14,14,1.166666667,2.138888889,0,5,28,23,8.5,4.083333333,6,0,1,1,0.166666667,0.277777778,0,0,4,4,2,0.666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2.166666667,0.583333333,2,9.105,28.11,19.005,14.13712302,5.870810185,9.105,0,1.625,1.625,0.270833333,0.451388889,0,0,0,0,0,0,0,2,225,223,63.58333333,80.70833333,12
mp-5495,0.18,Ag2PdO2,mp-5495,Ag2PdO2,0.0209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,39,31.2,18.56,8,62,87,25,73.2,11.04,65,15.9994,107.8682,91.8688,70.83104,43.865312,15.9994,54.8,1828.05,1773.25,881.502,661.3616,54.8,10,16,6,12.8,2.56,11,2,5,3,3.8,1.44,2,66,145,79,112.2,36.96,66,1.93,3.44,1.51,2.588,0.6816,1.93,0,2,2,1.2,0.64,1,0,4,4,1.6,1.92,0,0,10,10,6,4.8,0,0,0,0,0,0,0,6,11,5,8.8,2.24,6,0,1,1,0.4,0.48,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.2,0.64,1,9.105,16.33,7.225,13.056,3.1608,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,139.8,102.24,12
mp-5408,0,Ag3AsO4,mp-5408,Ag3AsO4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,39,25.75,17.75,8,65,87,22,78.375,10.03125,87,15.9994,107.8682,91.8688,57.815475,41.816075,15.9994,54.8,1234.93,1180.13,626.74875,571.94875,54.8,11,16,5,14,2.25,16,2,5,3,3.375,1.375,2,66,145,79,102.25,36.25,66,1.93,3.44,1.51,2.71625,0.72375,3.44,1,2,1,1.625,0.46875,2,0,4,4,2.375,1.78125,4,0,10,10,5,5,0,0,0,0,0,0,0,6,15,9,9,3,6,0,1,1,0.375,0.46875,0,0,3,3,1.375,1.03125,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1.75,0.5625,2,9.105,22.175,13.07,13.448125,4.343125,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,111.125,99.125,12
mp-510453,0,Ag3RuO4,mp-510453,Ag3RuO4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,39,27.125,19.125,8,56,87,31,74.875,12.125,87,15.9994,107.8682,91.8688,61.084025,45.084625,15.9994,54.8,2607,2552.2,816.37375,761.57375,54.8,8,16,8,13.125,2.875,16,2,5,3,3.5,1.5,2,66,146,80,105.625,39.625,66,1.93,3.44,1.51,2.71875,0.72125,3.44,1,2,1,1.5,0.5,2,0,4,4,2,2,4,0,10,10,4.625,4.625,0,0,0,0,0,0,0,6,11,5,8.125,2.15625,6,0,1,1,0.5,0.5,0,0,2,2,1,1,2,0,3,3,0.375,0.65625,0,0,0,0,0,0,0,1,4,3,1.875,0.65625,2,9.105,16.33,7.225,12.365,3.26,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,114.625,102.625,12
mp-554648,1.4,Ag5IO6,mp-554648,Ag5IO6,0.0165,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,53,45,28,20,8,65,96,31,78.58333333,11.31944444,87,15.9994,126.90447,110.90507,63.52015583,47.52075583,15.9994,54.8,1234.93,1180.13,574.1916667,550.6152778,54.8,11,17,6,14,2.5,16,2,5,3,3.5,1.5,2,66,145,79,105,39,66,1.93,3.44,1.51,2.745833333,0.694166667,3.44,1,2,1,1.583333333,0.486111111,2,0,5,5,2.416666667,2.013888889,4,0,10,10,5,5,0,0,0,0,0,0,0,6,17,11,9,3,6,0,1,1,0.416666667,0.486111111,0,0,2,2,1.083333333,0.916666667,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.5,0.5,2,9.105,43.015,33.91,14.94125,5.83625,9.105,0,1.062,1.062,0.0885,0.16225,0,0,0,0,0,0,0,12,225,213,105.0833333,99.93055556,12
